chapter	section_id	title	chap_num	idx	mission_primary
00_foundations	01_what_is_spice_and_ngspice	What is SPICE and ngspice	0	1	circuit_design_validation
00_foundations	02_modified_nodal_analysis_mna	Modified nodal analysis (MNA)	0	2	circuit_design_validation
00_foundations	03_newton_raphson_for_nonlinear_circuits	Newton-Raphson for nonlinear circuits	0	3	circuit_design_validation
00_foundations	04_sparse_matrix_in_circuit_simulation	Sparse matrices in circuit simulation	0	4	circuit_design_validation
00_foundations	05_numerical_integration_for_transient	Numerical integration for transient	0	5	circuit_design_validation
00_foundations	06_dual_mission_reading_guide	Dual-mission reading guide	0	6	circuit_design_validation
01_architecture_overview	01_layered_architecture	Layered architecture	1	1	kernel_reimplementation
01_architecture_overview	02_data_structures_cktcircuit	Data structures: CKTcircuit	1	2	kernel_reimplementation
01_architecture_overview	03_spicedev_plugin_contract	SPICEdev plugin contract	1	3	kernel_reimplementation
01_architecture_overview	04_function_pointer_dispatch	Function pointer dispatch	1	4	kernel_reimplementation
01_architecture_overview	05_shared_library_mode	Shared library mode	1	5	kernel_reimplementation
01_architecture_overview	06_directory_structure_walkthrough	Directory structure walkthrough	1	6	kernel_reimplementation
02_numerical_kernel_core	01_circuit_load_dispatch_cktload	Circuit load dispatch (CKTload)	2	1	kernel_reimplementation
02_numerical_kernel_core	02_newton_raphson_iteration_niiter	Newton-Raphson iteration (NIiter)	2	2	kernel_reimplementation
02_numerical_kernel_core	03_convergence_test_anatomy	Convergence test anatomy	2	3	kernel_reimplementation
02_numerical_kernel_core	04_damped_newton_strategy	Damped Newton strategy	2	4	kernel_reimplementation
02_numerical_kernel_core	05_voltage_limiting_devpnjlim	Junction limiting (DEVpnjlim)	2	5	kernel_reimplementation
02_numerical_kernel_core	06_voltage_limiting_devfetlim	FET limiting (DEVfetlim)	2	6	kernel_reimplementation
02_numerical_kernel_core	07_matrix_singularity_handling	Matrix singularity handling	2	7	kernel_reimplementation
02_numerical_kernel_core	08_kernel_invariants_summary	Kernel invariants summary	2	8	kernel_reimplementation
03_analysis_drivers	01_dc_operating_point_dcop	DC operating point (DCop)	3	1	kernel_reimplementation
03_analysis_drivers	02_dc_sweep_dctrcurv	DC sweep (DCtrCurv)	3	2	kernel_reimplementation
03_analysis_drivers	03_transient_dctran	Transient (DCtran)	3	3	kernel_reimplementation
03_analysis_drivers	04_ac_small_signal_acan	AC small-signal (ACan)	3	4	kernel_reimplementation
03_analysis_drivers	05_noise_analysis_noisean	Noise analysis (NOISEan)	3	5	kernel_reimplementation
03_analysis_drivers	06_distortion_volterra_disto	Distortion (DISTOan)	3	6	kernel_reimplementation
03_analysis_drivers	07_transfer_function_tfan	Transfer function (TFanal)	3	7	kernel_reimplementation
03_analysis_drivers	08_sensitivity_adjoint_senan	Sensitivity (cktsens)	3	8	kernel_reimplementation
03_analysis_drivers	09_pole_zero_pzan	Pole-zero (PZan)	3	9	kernel_reimplementation
03_analysis_drivers	10_fourier_post_processing	Fourier post-processing	3	10	kernel_reimplementation
04_convergence_aids	01_convergence_aid_ladder	Convergence aid ladder	4	1	kernel_reimplementation
04_convergence_aids	02_gmin_stepping_mechanics	GMIN stepping mechanics	4	2	kernel_reimplementation
04_convergence_aids	03_source_stepping_mechanics	Source stepping mechanics	4	3	kernel_reimplementation
04_convergence_aids	04_pseudo_transient_mechanics	Pseudo-transient mechanics	4	4	kernel_reimplementation
04_convergence_aids	05_itl_iteration_limit_options	ITL iteration limit options	4	5	kernel_reimplementation
04_convergence_aids	06_convergence_failure_diagnosis	Convergence failure diagnosis	4	6	circuit_design_validation
05_numerical_integration	01_trapezoidal_integration	Trapezoidal integration	5	1	kernel_reimplementation
05_numerical_integration	02_gear_method_orders_2_to_6	Gear method (orders 2–6)	5	2	kernel_reimplementation
05_numerical_integration	03_backward_euler	Backward Euler	5	3	kernel_reimplementation
05_numerical_integration	04_charge_conserving_capacitor_stamps	Charge-conserving capacitor stamps	5	4	kernel_reimplementation
05_numerical_integration	05_lte_estimation_devtrunc	LTE estimation (DEVtrunc)	5	5	kernel_reimplementation
05_numerical_integration	06_timestep_control_law	Timestep control law	5	6	kernel_reimplementation
05_numerical_integration	07_breakpoint_handling	Breakpoint handling	5	7	kernel_reimplementation
06_sparse_solver	01_sparse_matrix_data_structure	Sparse matrix data structure	6	1	kernel_reimplementation
06_sparse_solver	02_sparse_lu_factorization	Sparse LU factorization	6	2	kernel_reimplementation
06_sparse_solver	03_partial_pivoting_strategy	Partial pivoting strategy	6	3	kernel_reimplementation
06_sparse_solver	04_ordering_heuristic	Ordering heuristic	6	4	kernel_reimplementation
06_sparse_solver	05_solve_phase_spsolve	Solve phase (spsolve)	6	5	kernel_reimplementation
06_sparse_solver	06_klu_alternative	KLU alternative	6	6	kernel_reimplementation
06_sparse_solver	07_sparse_solver_invariants	Sparse solver invariants	6	7	kernel_reimplementation
07_device_model_contract	01_spicedev_struct_anatomy	SPICEdev struct anatomy	7	1	kernel_reimplementation
07_device_model_contract	02_devparam_parameter_handling	DevParam parameter handling	7	2	kernel_reimplementation
07_device_model_contract	03_devload_load_function	DEVload	7	3	kernel_reimplementation
07_device_model_contract	04_devacload_ac_linearization	DEVacLoad	7	4	kernel_reimplementation
07_device_model_contract	05_devtrunc_lte_per_device	DEVtrunc	7	5	kernel_reimplementation
07_device_model_contract	06_devconvtest_per_device_convergence	DEVconvTest	7	6	kernel_reimplementation
07_device_model_contract	07_devlimit_per_device_limiting	DEVlimit	7	7	kernel_reimplementation
07_device_model_contract	08_devtemperature_temp_resolution	DEVtemperature	7	8	kernel_reimplementation
07_device_model_contract	09_devsens_sensitivity_per_device	DEVsens	7	9	kernel_reimplementation
07_device_model_contract	10_devnoise_noise_psd_per_device	DEVnoise	7	10	kernel_reimplementation
07_device_model_contract	11_writing_a_new_device_model	Writing a new device model	7	11	kernel_reimplementation
08_passive_devices	01_resistor	Resistor	8	1	kernel_reimplementation
08_passive_devices	02_capacitor	Capacitor	8	2	kernel_reimplementation
08_passive_devices	03_inductor_and_mutual	Inductor and mutual	8	3	kernel_reimplementation
08_passive_devices	04_transmission_line_lossless_tra	Lossless transmission line (TRA)	8	4	kernel_reimplementation
08_passive_devices	05_transmission_line_lossy_ltra	Lossy transmission line (LTRA)	8	5	kernel_reimplementation
08_passive_devices	06_transmission_line_simple_txl	Simple transmission line (TXL)	8	6	kernel_reimplementation
08_passive_devices	07_uniform_rc_urc	Uniform RC (URC)	8	7	kernel_reimplementation
09_source_devices	01_independent_voltage_source	Independent voltage source	9	1	kernel_reimplementation
09_source_devices	02_independent_current_source	Independent current source	9	2	kernel_reimplementation
09_source_devices	03_vcvs_e_element	VCVS (E)	9	3	kernel_reimplementation
09_source_devices	04_vccs_g_element	VCCS (G)	9	4	kernel_reimplementation
09_source_devices	05_ccvs_h_element	CCVS (H)	9	5	kernel_reimplementation
09_source_devices	06_cccs_f_element	CCCS (F)	9	6	kernel_reimplementation
09_source_devices	07_behavioral_source_b_element	Behavioral source (B)	9	7	kernel_reimplementation
09_source_devices	08_voltage_controlled_switch_s	Voltage-controlled switch (S)	9	8	kernel_reimplementation
09_source_devices	09_current_controlled_switch_w	Current-controlled switch (W)	9	9	kernel_reimplementation
10_diode_and_bjt_models	01_diode_model	Diode model	10	1	kernel_reimplementation
10_diode_and_bjt_models	02_bjt_gummel_poon	BJT Gummel-Poon	10	2	kernel_reimplementation
10_diode_and_bjt_models	03_bjt_vbic	BJT VBIC	10	3	kernel_reimplementation
10_diode_and_bjt_models	04_bjt_hicum2	BJT HiCUM2	10	4	kernel_reimplementation
11_mosfet_models	01_mosfet_levels_1_2_3	MOSFET levels 1–3	11	1	kernel_reimplementation
11_mosfet_models	02_mosfet_level_6_9	MOSFET levels 6–9	11	2	kernel_reimplementation
11_mosfet_models	03_bsim3	BSIM3	11	3	kernel_reimplementation
11_mosfet_models	04_bsim4	BSIM4	11	4	kernel_reimplementation
11_mosfet_models	06_ekv	EKV (ADMS)	11	5	kernel_reimplementation
11_mosfet_models	07_hisim2	HiSIM2	11	6	kernel_reimplementation
11_mosfet_models	08_hisim_hv2	HiSIM-HV	11	7	kernel_reimplementation
11_mosfet_models	09_charge_handling_across_models	Charge handling across models	11	8	kernel_reimplementation
11_mosfet_models	10_choosing_a_mosfet_model	Choosing a MOSFET model	11	9	circuit_design_validation
12_jfet_mesfet_models	01_jfet_level1	JFET level 1	12	1	kernel_reimplementation
12_jfet_mesfet_models	02_jfet_level2	JFET level 2	12	2	kernel_reimplementation
12_jfet_mesfet_models	03_mesfet_curtice	MESFET Curtice	12	3	kernel_reimplementation
12_jfet_mesfet_models	04_mesfet_statz	MESFET Statz	12	4	kernel_reimplementation
12_jfet_mesfet_models	05_mesfet_hfet	MESFET / HFET	12	5	kernel_reimplementation
13_xspice_mixed_signal	01_xspice_event_driven_overview	XSPICE event-driven overview	13	1	kernel_reimplementation
13_xspice_mixed_signal	02_event_node_types	Event node types	13	2	kernel_reimplementation
13_xspice_mixed_signal	03_code_models	Code models	13	3	kernel_reimplementation
13_xspice_mixed_signal	04_analog_digital_interfacing	Analog/digital interfacing	13	4	kernel_reimplementation
13_xspice_mixed_signal	05_user_defined_code_models	User-defined code models	13	5	kernel_reimplementation
14_netlist_grammar	01_netlist_overall_structure	Netlist overall structure	14	1	circuit_design_validation
14_netlist_grammar	02_device_card_grammar	Device card grammar	14	2	circuit_design_validation
14_netlist_grammar	03_dotcommand_overview	Dot command overview	14	3	circuit_design_validation
14_netlist_grammar	04_dot_op_dot_dc	.op and .dc	14	4	circuit_design_validation
14_netlist_grammar	05_dot_ac	.ac	14	5	circuit_design_validation
14_netlist_grammar	06_dot_tran	.tran	14	6	circuit_design_validation
14_netlist_grammar	07_dot_noise_dot_disto	.noise and .disto	14	7	circuit_design_validation
14_netlist_grammar	08_dot_tf_dot_sens_dot_pz	.tf .sens .pz	14	8	circuit_design_validation
14_netlist_grammar	09_dot_subckt_dot_ends	.subckt and .ends	14	9	circuit_design_validation
14_netlist_grammar	10_dot_param_parameterization	.param	14	10	circuit_design_validation
14_netlist_grammar	11_dot_options_directive	.options	14	11	circuit_design_validation
14_netlist_grammar	12_dot_ic_dot_nodeset	.ic and .nodeset	14	12	circuit_design_validation
14_netlist_grammar	13_dot_save_dot_print_dot_plot	.save .print .plot	14	13	circuit_design_validation
14_netlist_grammar	14_dot_measure	.measure	14	14	circuit_design_validation
14_netlist_grammar	15_dot_control_block	.control block	14	15	circuit_design_validation
15_parser_and_expansion	01_netlist_tokenization	Netlist tokenization	15	1	circuit_design_validation
